GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,GeositeInfo_Latitude,GeositeInfo_Longitude,WaterStrike_ConstructionCompletionDate,WaterStrike_YieldMeasurementMethod,WaterStrike_WaterStrikeType,WaterStrike_SeepageValue,WaterStrike_DepthToTop,WaterStrike_DepthToBottom,WaterStrike_TotalBlowYieldValue,WaterStrike_ContributionValue
Dept Water - Pretoria,2828AB00184,Borehole,-28.03371,28.49356,1983/06/07,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828BB00127,Borehole,-28.03363,28.98717,,,,,,,,
Dept Water - Pretoria,2828BB00128,Borehole,-28.03354,28.98537,1961/06/30,,Total Yield,,18.29,,0.44,
Dept Water - Pretoria,2828BB00126,Borehole,-28.03353,28.98537,,,,,,,,
Dept Water - Pretoria,2828BB00129,Borehole,-28.03343,28.98507,1961/07/11,,Total Seepage,0.01,18.29,,,
Dept Water - Pretoria,2828AB00090,Borehole,-28.03296,28.38688,1961/07/31,,Total Yield,,28.95,,0.43,
Dept Water - Pretoria,2828AB00092,Borehole,-28.03238,28.38505,1961/07/13,,Total Seepage,0.01,21.34,,,
Dept Water - Pretoria,2828AB00183,Borehole,-28.03238,28.49356,1983/06/07,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828AB00094,Borehole,-28.03237,28.38505,1961/07/25,,Total Seepage,0.0001,36.27,,,
Dept Water - Pretoria,2828AB00089,Borehole,-28.03158,28.38738,,,,,,,,
Dept Water - Pretoria,2828AB00108,Borehole,-28.03155,28.30018,1971/11/30,,Individual Contribution,,105,,0.1001,0.1
Dept Water - Pretoria,2828AB00108,Borehole,-28.03155,28.30018,1971/11/30,,Individual Contribution,0.0001,65,,0.1001,
Dept Water - Pretoria,2828AB00107,Borehole,-28.03154,28.30018,,,,,,,,
Dept Water - Pretoria,2828AB00110,Borehole,-28.03154,28.30618,,,,,,,,
Dept Water - Pretoria,2828AB00111,Borehole,-28.03079,28.3351,,,,,,,,
Dept Water - Pretoria,2828AB00112,Borehole,-28.03079,28.33511,,,,,,,,
Dept Water - Pretoria,2828AB00114,Borehole,-28.03078,28.3351,1981/01/27,,Total Yield,,24,,2.77,
Dept Water - Pretoria,2828AB00113,Borehole,-28.03077,28.3351,,,,,,,,
Dept Water - Pretoria,2828AB00038,Borehole,-28.02975,28.36188,,,,,,,,
Dept Water - Pretoria,2828AB00039,Borehole,-28.02975,28.36189,1958/08/19,,Total Yield,,13.72,,0.25,
Dept Water - Pretoria,2828AB00037,Borehole,-28.02965,28.36187,,,,,,,,
Dept Water - Pretoria,2828AB00035,Borehole,-28.02964,28.36187,,,,,,,,
Dept Water - Pretoria,2828AB00033,Borehole,-28.02963,28.36187,1958/08/04,,Total Seepage,0.08,22.86,,,
Dept Water - Pretoria,2828AB00034,Borehole,-28.02963,28.36188,1958/07/05,,Total Yield,,16.76,,0.15,
Dept Water - Pretoria,2828AB00036,Borehole,-28.02963,28.36189,,,,,,,,
Dept Water - Pretoria,2828BA00030,Borehole,-28.02898,28.59937,,,,,,,,
Dept Water - Pretoria,2828BA00028,Borehole,-28.02897,28.59937,1960/12/05,,Total Seepage,0.02,12.19,,,
Dept Water - Pretoria,2828BA00026,Borehole,-28.02896,28.59937,1960/11/18,,Total Seepage,0.05,12.19,,,
Dept Water - Pretoria,2828BA00024,Borehole,-28.02895,28.59937,1960/11/15,,Total Seepage,0.02,12.19,,,
Dept Water - Pretoria,2828BA00022,Borehole,-28.02894,28.59937,1960/10/28,,Total Seepage,0.01,18.29,,,
Dept Water - Pretoria,2828BA00021,Borehole,-28.02893,28.59937,1960/10/24,,Total Seepage,0.05,18.29,,,
Dept Water - Pretoria,2828BA00023,Borehole,-28.02893,28.59938,1960/11/02,,Total Seepage,0.01,18.29,,,
Dept Water - Pretoria,2828BA00025,Borehole,-28.02893,28.59939,,,,,,,,
Dept Water - Pretoria,2828BA00027,Borehole,-28.02893,28.5994,,,,,,,,
Dept Water - Pretoria,2828BA00029,Borehole,-28.02893,28.59941,1960/12/09,,Total Seepage,0.01,21.34,,,
Dept Water - Pretoria,2828AB00186,Borehole,-28.02766,28.48411,1983/06/08,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828BA00136,Borehole,-28.02643,28.69297,,,,,,,,
Dept Water - Pretoria,2828AB00190,Borehole,-28.02599,28.488,1983/06/09,,Total Yield,,17,,2.52,
Dept Water - Pretoria,2828BA00137,Borehole,-28.02515,28.69484,1983/10/23,,Total Yield,,24,,1.54,
Dept Water - Pretoria,2829AA00020,Borehole,-28.02489,29.09971,1983/08/04,,Total Yield,,19,,0.51,
Dept Water - Pretoria,2829AA00021,Borehole,-28.02489,29.09972,,,,,,,,
Dept Water - Pretoria,2829AA00023,Borehole,-28.02489,29.09973,1983/08/17,,Total Yield,,13,,0.47,
Dept Water - Pretoria,2828BA00135,Borehole,-28.02483,28.69157,,,,,,,,
Dept Water - Pretoria,2828BB00073,Borehole,-28.02313,28.93537,1983/07/06,,Total Yield,,30,,0.18,
Dept Water - Pretoria,2828BB00074,Borehole,-28.02313,28.93547,,,,,,,,
Dept Water - Pretoria,2828BB00075,Borehole,-28.02313,28.93548,,,,,,,,
Dept Water - Pretoria,2828BB00072,Borehole,-28.02313,28.93553,,,,,,,,
Dept Water - Pretoria,2828AB00179,Borehole,-28.02267,28.40939,1984/01/03,,Total Seepage,0.0001,36,,,
Dept Water - Pretoria,2828AB00180,Borehole,-28.02267,28.4094,1984/01/04,,Total Seepage,0.0001,42,,,
Dept Water - Pretoria,2828AB00178,Borehole,-28.02266,28.40939,1984/01/03,,Total Seepage,0.0001,30,,,
Dept Water - Pretoria,2829AA00022,Borehole,-28.02266,29.10193,1983/07/25,,Total Seepage,0.0001,36,,,
Dept Water - Pretoria,2828AB00138,Borehole,-28.02239,28.383,1992/10/07,,Total Seepage,0.0001,102,,,
Dept Water - Pretoria,2828AB00134,Borehole,-28.02238,28.283,1992/08/31,,Total Seepage,0.0001,108,,,
Dept Water - Pretoria,2828AB00096,Borehole,-28.02237,28.383,1992/08/24,,Total Seepage,0.0001,84,,,
Dept Water - Pretoria,2828AB00188,Borehole,-28.02212,28.48857,1983/06/08,,Total Yield,,34,,0.63,
Dept Water - Pretoria,2828AB00182,Borehole,-28.02211,28.48856,1983/06/04,,Total Yield,,29,,1.5,
Dept Water - Pretoria,2828AB00185,Borehole,-28.02211,28.48857,1983/06/07,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828AB00181,Borehole,-28.0221,28.48856,1983/03/04,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828BA00156,Borehole,-28.02043,28.55467,1983/10/28,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828AB00004,Borehole,-28.02008,28.35963,1984/07/11,,Total Yield,,18,,2.5,
Dept Water - Pretoria,2828AB00005,Borehole,-28.02008,28.35964,,,,,,,,
Dept Water - Pretoria,2828AB00006,Borehole,-28.02008,28.35976,,,,,,,,
Dept Water - Pretoria,2828AB00007,Borehole,-28.02008,28.35989,1984/07/12,,Total Yield,,15,,0.71,
Dept Water - Pretoria,2829AB00033,Borehole,-28.01906,29.34359,1952/07/23,Float Principle (Thalimedes),Total Yield,,9.14,,1.28,
Dept Water - Pretoria,2829AB00032,Borehole,-28.01905,29.34359,1952/07/12,Estimated,Individual Contribution,,51.21,,0.4001,0.4
Dept Water - Pretoria,2829AB00032,Borehole,-28.01905,29.34359,1952/07/12,Estimated,Individual Contribution,0.0001,15.85,,0.4001,
Dept Water - Pretoria,2828AB00192,Borehole,-28.01849,28.49161,1983/06/10,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2828AB00191,Borehole,-28.01766,28.48717,1983/06/10,,Total Seepage,0.0001,85,,,
Dept Water - Pretoria,2829AA00047,Borehole,-28.01716,29.01638,1961/08/19,,Total Seepage,0.05,16.45,,,
Dept Water - Pretoria,2829AA00045,Borehole,-28.01715,29.01638,,,,,,,,
Dept Water - Pretoria,2829AA00043,Borehole,-28.01714,29.01638,1961/08/07,,Total Yield,,21.64,,0.31,
Dept Water - Pretoria,2829AA00041,Borehole,-28.01713,29.01638,,,,,,,,
Dept Water - Pretoria,2829BA00013,Borehole,-28.01713,29.54971,,,Total Yield,,60,,1.66,
Dept Water - Pretoria,2829AA00039,Borehole,-28.01712,29.01638,,,,,,,,
Dept Water - Pretoria,2829BA00011,Borehole,-28.01712,29.54971,1984/06/04,,Total Yield,,21.21,,1.16,
Dept Water - Pretoria,2829AA00037,Borehole,-28.01711,29.01638,,,,,,,,
Dept Water - Pretoria,2829AA00038,Borehole,-28.01711,29.01639,1935/05/02,,Total Seepage,0.02,73.15,,,
Dept Water - Pretoria,2829AA00040,Borehole,-28.01711,29.0164,1935/06/25,,Total Yield,,15.24,,0.94,
Dept Water - Pretoria,2829AA00042,Borehole,-28.01711,29.01641,1961/07/29,,Total Seepage,0.08,23.77,,,
Dept Water - Pretoria,2829AA00044,Borehole,-28.01711,29.01642,1961/08/11,,Total Yield,,21.03,,0.1,
Dept Water - Pretoria,2829AA00046,Borehole,-28.01711,29.01643,1961/08/15,,Total Seepage,0.08,21.33,,,
Dept Water - Pretoria,2829AA00050,Borehole,-28.01711,29.19971,1935/03/30,,Total Seepage,0.03,31.39,,,
Dept Water - Pretoria,2829AA00051,Borehole,-28.01711,29.19972,,,,,,,,
Dept Water - Pretoria,2829BA00010,Borehole,-28.01711,29.54971,1984/05/25,,Total Yield,,12,,1.75,
Dept Water - Pretoria,2829BA00012,Borehole,-28.01711,29.54972,1984/06/27,,Total Yield,,16.6,,1.64,
Dept Water - Pretoria,2829BA00014,Borehole,-28.01711,29.54973,,,,,,,,
Dept Water - Pretoria,2828BA00154,Borehole,-28.01571,28.54772,1983/10/18,,Total Yield,,75,,0.44,
Dept Water - Pretoria,2828AA00005,Borehole,-28.01423,28.23412,1966/01/01,,Total Yield,,18.29,,0.25,
Dept Water - Pretoria,2828BA00152,Borehole,-28.01376,28.55023,1983/10/14,,Total Seepage,0.0001,86,,,
Dept Water - Pretoria,2828BA00153,Borehole,-28.01349,28.54717,1983/10/15,,Total Seepage,0.0001,60,,,
Dept Water - Pretoria,2828BA00155,Borehole,-28.01071,28.55411,1983/10/20,,Total Seepage,0.0001,87,,,
Dept Water - Pretoria,2828AB00159,Borehole,-28.00933,28.41634,,,,,,,,
Dept Water - Pretoria,2828AB00157,Borehole,-28.00932,28.41634,,,,,,,,
Dept Water - Pretoria,2828AB00158,Borehole,-28.00932,28.41635,,,,,,,,
Dept Water - Pretoria,2829AA00004,Borehole,-28.00905,29.17805,,,,,,,,
Dept Water - Pretoria,2829AA00005,Borehole,-28.00905,29.17806,1983/07/08,,Total Yield,,15,,2.9,
Dept Water - Pretoria,2829AA00006,Borehole,-28.00877,29.03693,1983/08/30,,Total Yield,,18,,1.54,
Dept Water - Pretoria,2829AA00007,Borehole,-28.00877,29.0411,1983/06/30,,Total Yield,,20,,0.33,
Dept Water - Pretoria,2729CD00067,Borehole,-28.00794,29.36332,1951/05/17,,Total Seepage,0.04,45.72,,,
Dept Water - Pretoria,2829AA00008,Borehole,-28.00655,29.0411,,,,,,,,
Dept Water - Pretoria,2829AB00007,Borehole,-28.00519,29.46028,1994/01/26,Float Principle (Thalimedes),Total Yield,,33,,5.56,
Dept Water - Pretoria,2829AB00004,Borehole,-28.00518,29.46028,1994/02/07,,Total Seepage,0.0001,72,,,
Dept Water - Pretoria,2829AB00011,Borehole,-28.00517,29.46027,1994/02/10,Float Principle (Thalimedes),Total Yield,,79,,7.41,
Dept Water - Pretoria,2829AB00031,Borehole,-28.00516,29.46026,1994/02/15,Float Principle (Thalimedes),Total Yield,,48,,1.39,
Dept Water - Pretoria,2829AB00001,Borehole,-28.00516,29.46221,1949/06/23,,Individual Contribution,,39.62,,2.6001,2.6
Dept Water - Pretoria,2829AB00001,Borehole,-28.00516,29.46221,1949/06/23,,Individual Contribution,0.0001,27.43,,2.6001,
Dept Water - Pretoria,2828AA00007,Borehole,-28.00409,28.20311,,,,,,,,
Dept Water - Pretoria,2828AA00008,Borehole,-28.00409,28.20324,,,,,,,,
Dept Water - Pretoria,2828AA00009,Borehole,-28.00409,28.20325,1984/02/03,,Total Yield,,28,,0.31,
Dept Water - Pretoria,2829AB00002,Borehole,-28.00405,29.44971,,,,,,,,
Dept Water - Pretoria,2828BB00030,Borehole,-28.00404,28.87157,1971/03/30,,Total Seepage,0.04,39.62,,,
Dept Water - Pretoria,2828BB00028,Borehole,-28.00403,28.87157,1971/03/18,,Total Seepage,0.06,25.9,,,
Dept Water - Pretoria,2828BB00029,Borehole,-28.00403,28.87158,1971/03/23,,Total Yield,,10.66,,0.77,
Dept Water - Pretoria,2828BB00031,Borehole,-28.00403,28.87159,1971/04/20,,Total Yield,,12.19,,2.03,
Dept Water - Pretoria,2828BB00064,Borehole,-28.00073,28.98997,1961/04/19,,Total Seepage,0.07,24.38,,,
Dept Water - Pretoria,2728CD00042,Borehole,-27.99826,28.4883,1957/09/05,,Total Yield,,16.76,,0.76,
Dept Water - Pretoria,2728CD00058,Borehole,-27.99549,28.33802,1958/05/22,,Total Seepage,0.0001,32,,,
Dept Water - Pretoria,2728DC00159,Borehole,-27.99549,28.63774,1983/06/24,,Total Seepage,0.0001,70,,,
Dept Water - Pretoria,2729DC00081,Borehole,-27.99496,29.52749,,,,,,,,
Dept Water - Pretoria,2729DC00040,Borehole,-27.99495,29.52749,1991/07/02,,Total Seepage,0.0001,78,,,
Dept Water - Pretoria,2729DC00039,Borehole,-27.99494,29.52749,,,,,,,,
Dept Water - Pretoria,2729DC00071,Borehole,-27.99494,29.5275,,,,,,,,
Dept Water - Pretoria,2728CD00056,Borehole,-27.99417,28.33302,1958/05/20,,Total Seepage,0.03,16.76,,,
Dept Water - Pretoria,2728CD00054,Borehole,-27.99416,28.33302,,,Total Seepage,0.09,19.81,,,
Dept Water - Pretoria,2728CD00052,Borehole,-27.99415,28.33302,,,,,,,,
Dept Water - Pretoria,2728CD00050,Borehole,-27.99414,28.33302,,,,,,,,
Dept Water - Pretoria,2728CD00048,Borehole,-27.99413,28.33302,,,,,,,,
Dept Water - Pretoria,2728CD00046,Borehole,-27.99412,28.33302,,,,,,,,
Dept Water - Pretoria,2728CD00044,Borehole,-27.99411,28.33302,,,,,,,,
Dept Water - Pretoria,2728CD00043,Borehole,-27.9941,28.33303,,,,,,,,
Dept Water - Pretoria,2728CD00045,Borehole,-27.9941,28.33304,,,,,,,,
Dept Water - Pretoria,2728CD00047,Borehole,-27.9941,28.33305,,,,,,,,
Dept Water - Pretoria,2728CD00049,Borehole,-27.9941,28.33306,,,,,,,,
Dept Water - Pretoria,2728CD00051,Borehole,-27.9941,28.33307,,,,,,,,
Dept Water - Pretoria,2728CD00053,Borehole,-27.9941,28.33308,1958/05/01,,Total Seepage,0.03,22.86,,,
Dept Water - Pretoria,2728CD00055,Borehole,-27.9941,28.33309,,,,,,,,
Dept Water - Pretoria,2728CD00057,Borehole,-27.9941,28.3331,,,,,,,,
Dept Water - Pretoria,2728CD00059,Borehole,-27.9941,28.33311,,,,,,,,
Dept Water - Pretoria,2728DC00158,Borehole,-27.9941,28.63774,1983/06/27,,Total Seepage,0.0001,77,,,
Dept Water - Pretoria,2728CD00255,Borehole,-27.99279,28.37525,,,,,,,,
Dept Water - Pretoria,2728CD00253,Borehole,-27.99278,28.37525,1960/09/23,,Total Seepage,0.08,15.24,,,
Dept Water - Pretoria,2728CD00251,Borehole,-27.99277,28.37525,1960/09/16,,Total Seepage,0.06,15.24,,,
Dept Water - Pretoria,2728CD00249,Borehole,-27.99276,28.37525,1960/09/08,,Total Seepage,0.04,15.24,,,
Dept Water - Pretoria,2728CD00247,Borehole,-27.99275,28.37525,,,,,,,,
Dept Water - Pretoria,2728DC00021,Borehole,-27.99275,28.50858,,,,,,,,
Dept Water - Pretoria,2728CD00245,Borehole,-27.99274,28.37525,1957/12/10,,Total Seepage,0.06,17.68,,,
Dept Water - Pretoria,2728DC00019,Borehole,-27.99274,28.50858,1981/07/09,,Total Seepage,0.08,32,,,
Dept Water - Pretoria,2728CD00243,Borehole,-27.99273,28.37525,1957/11/06,,Total Seepage,0.08,22.86,,,
Dept Water - Pretoria,2728CD00238,Borehole,-27.99273,28.40858,1944/02/01,,Total Seepage,0.04,13.11,,,
Dept Water - Pretoria,2728DC00017,Borehole,-27.99273,28.50858,1944/10/07,,Total Seepage,0.03,12.19,,,
Dept Water - Pretoria,2728CD00241,Borehole,-27.99272,28.37525,1957/10/24,,Total Yield,,19.81,,0.11,
Dept Water - Pretoria,2728CD00232,Borehole,-27.99272,28.39969,1960/08/04,,Total Yield,,7.62,,0.27,
Dept Water - Pretoria,2728CD00236,Borehole,-27.99272,28.40858,1944/02/29,,Individual Contribution,,32.92,,0.3001,0.3
Dept Water - Pretoria,2728CD00236,Borehole,-27.99272,28.40858,1944/02/29,,Individual Contribution,0.0001,6.1,,0.3001,
Dept Water - Pretoria,2728CD00139,Borehole,-27.99272,28.43302,,,,,,,,
Dept Water - Pretoria,2728DC00015,Borehole,-27.99272,28.50858,1944/10/17,,Total Seepage,0.01,10.97,,,
Dept Water - Pretoria,2728DC00134,Borehole,-27.99272,28.53302,,,,,,,,
Dept Water - Pretoria,2728DC00136,Borehole,-27.99272,28.63302,,,,,,,,
Dept Water - Pretoria,2728CD00239,Borehole,-27.99271,28.37525,1957/10/16,,Total Yield,,15.24,,0.1,
Dept Water - Pretoria,2728CD00240,Borehole,-27.99271,28.37526,,,,,,,,
Dept Water - Pretoria,2728CD00242,Borehole,-27.99271,28.37527,1957/10/31,,Total Seepage,0.05,19.81,,,
Dept Water - Pretoria,2728CD00244,Borehole,-27.99271,28.37528,1957/11/29,,Total Yield,,8.53,,0.42,
Dept Water - Pretoria,2728CD00246,Borehole,-27.99271,28.37529,1957/12/12,,Total Seepage,0.09,19.81,,,
Dept Water - Pretoria,2728CD00248,Borehole,-27.99271,28.3753,1960/09/02,,Total Yield,,25.91,,0.21,
Dept Water - Pretoria,2728CD00250,Borehole,-27.99271,28.37531,1960/09/13,,Total Seepage,0.03,32,,,
Dept Water - Pretoria,2728CD00252,Borehole,-27.99271,28.37532,,,,,,,,
Dept Water - Pretoria,2728CD00254,Borehole,-27.99271,28.37533,1960/09/30,,Total Yield,,16.76,,0.61,
Dept Water - Pretoria,2728CD00230,Borehole,-27.99271,28.39969,1960/08/20,,Total Seepage,0.03,22.86,,,
Dept Water - Pretoria,2728CD00231,Borehole,-27.99271,28.3997,1960/08/12,,Total Seepage,0.04,18.29,,,
Dept Water - Pretoria,2728CD00234,Borehole,-27.99271,28.40858,1944/03/16,,Individual Contribution,,24.38,,1.3001,1.3
Dept Water - Pretoria,2728CD00234,Borehole,-27.99271,28.40858,1944/03/16,,Individual Contribution,0.0001,9.14,,1.3001,
Dept Water - Pretoria,2728CD00235,Borehole,-27.99271,28.40859,1944/03/06,,Total Seepage,0.01,36.58,,,
Dept Water - Pretoria,2728CD00237,Borehole,-27.99271,28.4086,1944/02/11,,Total Seepage,0.04,3.05,,,
Dept Water - Pretoria,2728CD00137,Borehole,-27.99271,28.43302,1957/08/29,,Total Seepage,0.08,25.91,,,
Dept Water - Pretoria,2728CD00138,Borehole,-27.99271,28.43303,,,,,,,,
Dept Water - Pretoria,2728CD00140,Borehole,-27.99271,28.43304,1957/09/09,,Total Seepage,0.06,18.29,,,
Dept Water - Pretoria,2728DC00014,Borehole,-27.99271,28.50858,1944/09/28,,Total Yield,,20.11,,0.1,
Dept Water - Pretoria,2728DC00016,Borehole,-27.99271,28.50859,1944/10/23,,Individual Contribution,,18.59,,0.7001,0.7
Dept Water - Pretoria,2728DC00016,Borehole,-27.99271,28.50859,1944/10/23,,Individual Contribution,0.0001,13.41,,0.7001,
Dept Water - Pretoria,2728DC00018,Borehole,-27.99271,28.5086,1944/10/12,,Total Seepage,0.02,19.2,,,
Dept Water - Pretoria,2728DC00020,Borehole,-27.99271,28.50861,,,,,,,,
Dept Water - Pretoria,2728DC00132,Borehole,-27.99271,28.53302,1943/11/24,,Total Seepage,0.07,21.94,,,
Dept Water - Pretoria,2728DC00133,Borehole,-27.99271,28.53303,1943/11/18,,Total Seepage,0.03,16.76,,,
Dept Water - Pretoria,2728DC00130,Borehole,-27.99271,28.58302,1944/01/25,,Total Seepage,0.03,18.28,,,
Dept Water - Pretoria,2728DC00131,Borehole,-27.99271,28.58303,1943/12/04,,Total Seepage,0.02,29.26,,,
Dept Water - Pretoria,2728DC00135,Borehole,-27.99271,28.63302,,,,,,,,
Dept Water - Pretoria,2728CD00269,Borehole,-27.99243,28.3783,1957/12/21,,Total Seepage,0.02,12.19,,,
Dept Water - Pretoria,2729CD00071,Borehole,-27.98802,29.36638,1951/03/31,,Total Seepage,0.06,12.19,,,
Dept Water - Pretoria,2729CD00069,Borehole,-27.98801,29.36638,1951/04/23,,Total Yield,,12.19,,0.11,
Dept Water - Pretoria,2729CD00068,Borehole,-27.988,29.36639,1951/05/09,,Total Yield,,18.29,,0.76,
Dept Water - Pretoria,2729CD00070,Borehole,-27.988,29.3664,1951/04/18,,Total Seepage,0.06,12.19,,,
Dept Water - Pretoria,2729CD00030,Borehole,-27.98744,29.33304,1951/07/06,,Total Yield,,24.38,,0.18,
Dept Water - Pretoria,2728CD00063,Borehole,-27.9839,28.34052,1961/08/12,,Total Seepage,0.01,21.34,,,
Dept Water - Pretoria,2728CD00014,Borehole,-27.98389,28.34052,1961/09/25,,Total Yield,,21.34,,0.1,
Dept Water - Pretoria,2728CD00012,Borehole,-27.98388,28.34052,1961/09/06,,Total Seepage,0.04,15.24,,,
Dept Water - Pretoria,2728CD00010,Borehole,-27.98387,28.34052,1961/08/26,,Total Seepage,0.06,13.72,,,
Dept Water - Pretoria,2728CD00008,Borehole,-27.98386,28.34052,,,,,,,,
Dept Water - Pretoria,2729CD00043,Borehole,-27.98386,29.38304,1957/02/13,,Total Seepage,0.08,21.95,,,
Dept Water - Pretoria,2728CD00006,Borehole,-27.98385,28.34052,,,,,,,,
Dept Water - Pretoria,2729CC00019,Borehole,-27.98385,29.08304,1958/08/12,,Total Seepage,0.01,4.57,,,
Dept Water - Pretoria,2729CD00041,Borehole,-27.98385,29.38304,,,,,,,,
Dept Water - Pretoria,2729CD00152,Borehole,-27.98385,29.44971,1991/05/23,,Total Yield,,34,,5,
Dept Water - Pretoria,2728CD00040,Borehole,-27.98384,28.26636,1961/11/10,,Total Yield,,15.24,,0.61,
Dept Water - Pretoria,2728CD00004,Borehole,-27.98384,28.34052,1961/10/03,,Total Yield,,9.14,,0.1,
Dept Water - Pretoria,2729CC00017,Borehole,-27.98384,29.08304,1958/08/11,,Individual Contribution,,18.29,,0.1001,0.1
Dept Water - Pretoria,2729CC00017,Borehole,-27.98384,29.08304,1958/08/11,,Individual Contribution,0.0001,18.28,,0.1001,
Dept Water - Pretoria,2729CD00039,Borehole,-27.98384,29.38304,1950/12/06,,Individual Contribution,0.0001,27.43,,0.0001,
Dept Water - Pretoria,2729CD00150,Borehole,-27.98384,29.44971,,,,,,,,
Dept Water - Pretoria,2728CD00038,Borehole,-27.98383,28.26636,1961/10/31,,Total Seepage,0.01,14.02,,,
Dept Water - Pretoria,2728CD00002,Borehole,-27.98383,28.34052,1984/08/02,,Total Yield,,36,,1,
Dept Water - Pretoria,2729CC00016,Borehole,-27.98383,29.08304,,,,,,,,
Dept Water - Pretoria,2729CC00018,Borehole,-27.98383,29.08305,1958/08/19,,Total Yield,,27.43,,1.06,
Dept Water - Pretoria,2729CD00037,Borehole,-27.98383,29.38304,1983/12/01,,Total Yield,,70,,3.03,
Dept Water - Pretoria,2729CD00038,Borehole,-27.98383,29.38305,1983/12/05,,Total Yield,,80,,1.43,
Dept Water - Pretoria,2729CD00040,Borehole,-27.98383,29.38306,,,,,,,,
Dept Water - Pretoria,2729CD00042,Borehole,-27.98383,29.38307,1951/01/23,,Total Seepage,0.06,21.95,,,
Dept Water - Pretoria,2729CD00044,Borehole,-27.98383,29.38308,,,,,,,,
Dept Water - Pretoria,2729CD00149,Borehole,-27.98383,29.44971,1991/06/11,,Total Yield,,62,,4.76,
Dept Water - Pretoria,2729CD00151,Borehole,-27.98383,29.44972,1991/06/25,,Total Yield,,96,,1.59,
Dept Water - Pretoria,2728CD00036,Borehole,-27.98382,28.26636,,,,,,,,
Dept Water - Pretoria,2728CD00037,Borehole,-27.98382,28.26637,1961/10/27,,Total Seepage,0.01,18.29,,,
Dept Water - Pretoria,2728CD00039,Borehole,-27.98382,28.26638,1961/11/04,,Total Seepage,0.03,12.19,,,
Dept Water - Pretoria,2728CD00041,Borehole,-27.98382,28.26639,,,,,,,,
Dept Water - Pretoria,2728CD00001,Borehole,-27.98382,28.34052,,,,,,,,
Dept Water - Pretoria,2728CD00003,Borehole,-27.98382,28.34053,,,,,,,,
Dept Water - Pretoria,2728CD00005,Borehole,-27.98382,28.34054,,,,,,,,
Dept Water - Pretoria,2728CD00007,Borehole,-27.98382,28.34055,,,,,,,,
Dept Water - Pretoria,2728CD00009,Borehole,-27.98382,28.34056,1961/08/17,,Total Seepage,0.05,12.19,,,
Dept Water - Pretoria,2728CD00011,Borehole,-27.98382,28.34057,1961/08/31,,Total Seepage,0.04,15.24,,,
Dept Water - Pretoria,2728CD00013,Borehole,-27.98382,28.34058,1961/09/09,,Total Seepage,0.03,15.24,,,
Dept Water - Pretoria,2728CD00015,Borehole,-27.98382,28.34059,1961/10/16,,Total Yield,,29.84,,2.27,
Dept Water - Pretoria,2728CD00064,Borehole,-27.98382,28.3406,,,,,,,,
Dept Water - Pretoria,2728CD00060,Borehole,-27.98382,28.39969,1984/06/14,,Total Yield,,56,,2.5,
Dept Water - Pretoria,2728DD00047,Borehole,-27.98382,28.89969,,,,,,,,
Dept Water - Pretoria,2728DD00046,Borehole,-27.98382,28.94969,,,,,,,,
Dept Water - Pretoria,2728DC00161,Borehole,-27.98245,28.63858,1983/10/27,,Total Yield,,30,,3.4,
Dept Water - Pretoria,2728DC00160,Borehole,-27.98244,28.63858,1983/10/26,,Total Yield,,60,,1,
Dept Water - Pretoria,2729CD00159,Borehole,-27.98053,29.40974,1953/11/18,Float Principle (Thalimedes),Total Yield,,32,,0.38,
Dept Water - Pretoria,2729CD00158,Borehole,-27.98052,29.40973,1953/11/05,Float Principle (Thalimedes),Total Yield,,45.72,,2.52,
Dept Water - Pretoria,2729CD00157,Borehole,-27.98051,29.40972,1953/10/22,,Total Seepage,0.0001,18.29,,,
Dept Water - Pretoria,2729CD00139,Borehole,-27.9805,29.40971,1953/10/20,,Total Seepage,0.0001,45.72,,,
Dept Water - Pretoria,2729CD00049,Borehole,-27.97939,29.36638,1951/08/12,,Individual Contribution,,21.33,,0.4001,0.4
Dept Water - Pretoria,2729CD00049,Borehole,-27.97939,29.36638,1951/08/12,,Individual Contribution,0.0001,12.19,,0.4001,
Dept Water - Pretoria,2729CD00046,Borehole,-27.97801,29.33304,1983/10/04,,Total Yield,,42,,0.45,
Dept Water - Pretoria,2729CD00045,Borehole,-27.978,29.33304,,,,,,,,
Dept Water - Pretoria,2729CD00047,Borehole,-27.978,29.33305,1983/10/05,,Total Yield,,25,,5.04,
Dept Water - Pretoria,2729CD00013,Borehole,-27.97747,29.28304,1949/08/18,,Total Seepage,0.06,27.21,,,
Dept Water - Pretoria,2729CD00011,Borehole,-27.97746,29.28304,,,,,,,,
Dept Water - Pretoria,2729CD00010,Borehole,-27.97745,29.28304,,,,,,,,
Dept Water - Pretoria,2729CD00012,Borehole,-27.97745,29.28305,,,,,,,,
Dept Water - Pretoria,2729CD00014,Borehole,-27.97745,29.28306,,,,,,,,
