GeositeInfo_DataOwner,GeositeInfo_Identifier,GeositeInfo_GeositeType,GeositeInfo_Latitude,GeositeInfo_Longitude,WaterStrike_ConstructionCompletionDate,WaterStrike_YieldMeasurementMethod,WaterStrike_WaterStrikeType,WaterStrike_SeepageValue,WaterStrike_DepthToTop,WaterStrike_DepthToBottom,WaterStrike_TotalBlowYieldValue,WaterStrike_ContributionValue
Dept Water - Pretoria,025887B,Borehole,-28.57722,28.79633,1971/07/01,,Individual Contribution,0.0001,33.53,,1.1001,
Dept Water - Pretoria,024597A,Borehole,-28.57572,28.84566,,,,,,,,
Dept Water - Pretoria,2828DB00046,Borehole,-28.57515,28.84674,,,,,,,,
Dept Water - Pretoria,2828DB00050,Borehole,-28.57488,28.83634,1970/11/01,,Total Yield,,79.25,,0.3,
Dept Water - Pretoria,2828DB00049,Borehole,-28.57487,28.83634,,,,,,,,
Dept Water - Pretoria,2828DB00048,Borehole,-28.57471,28.8475,,,,,,,,
Dept Water - Pretoria,024597B,Borehole,-28.57471,28.84751,,,,,,,,
Dept Water - Pretoria,2828DB00051,Borehole,-28.57419,28.84152,,,,,,,,
Dept Water - Pretoria,2828DB00030,Borehole,-28.5741,28.78103,,,,,,,,
Dept Water - Pretoria,023391,Borehole,-28.57401,28.77127,1970/01/01,,Total Yield,,51.82,,1.76,
Dept Water - Pretoria,2828DB00005,Borehole,-28.57385,28.79274,,,,,,,,
Dept Water - Pretoria,020656,Borehole,-28.57328,28.79248,1966/08/01,,Total Yield,,21.34,,0.2,
Dept Water - Pretoria,025881A,Borehole,-28.57328,28.84257,,,,,,,,
Dept Water - Pretoria,2828DB00114,Borehole,-28.57263,28.84137,,,,,,,,
Dept Water - Pretoria,2828DB00113,Borehole,-28.57189,28.8409,1974/10/01,,Total Yield,,50,,4.72,
Dept Water - Pretoria,2828DB00039,Borehole,-28.57172,28.82321,,,,,,,,
Dept Water - Pretoria,2828DB00090,Borehole,-28.57115,28.76403,,,,,,,,
Dept Water - Pretoria,2828DB00108,Borehole,-28.56959,28.77679,,,,,,,,
Dept Water - Pretoria,2828DB00106,Borehole,-28.56958,28.77679,,,,,,,,
Dept Water - Pretoria,2828DB00107,Borehole,-28.56958,28.7768,,,,,,,,
Dept Water - Pretoria,2828DA00014,Borehole,-28.56936,28.72827,1970/01/16,,Total Yield,,20.42,,0.86,
Dept Water - Pretoria,2828DA00011,Borehole,-28.56935,28.72827,1973/05/29,,Total Yield,,25.9,,0.44,
Dept Water - Pretoria,2828DA00008,Borehole,-28.56933,28.72827,1973/05/17,,Total Yield,,25.9,,0.25,
Dept Water - Pretoria,2828DA00010,Borehole,-28.56933,28.72828,,,,,,,,
Dept Water - Pretoria,2828DA00013,Borehole,-28.56933,28.72829,1970/12/01,,Total Yield,,15.24,,0.76,
Dept Water - Pretoria,025878A,Borehole,-28.56716,28.77631,,,,,,,,
Dept Water - Pretoria,2828DB00060,Borehole,-28.56694,28.77761,,,,,,,,
Dept Water - Pretoria,025884A,Borehole,-28.56684,28.77956,,,,,,,,
Dept Water - Pretoria,2828DB00118,Borehole,-28.56642,28.79693,1975/10/01,,Total Yield,,12,,2.64,
Dept Water - Pretoria,025884,Borehole,-28.56639,28.78009,,,,,,,,
Dept Water - Pretoria,025878B,Borehole,-28.56636,28.7771,,,,,,,,
Dept Water - Pretoria,025884B,Borehole,-28.56558,28.77932,1971/07/01,,Total Yield,,44.2,,0.19,
Dept Water - Pretoria,2828DB00038,Borehole,-28.56516,28.80189,,,,,,,,
Dept Water - Pretoria,024592,Borehole,-28.56515,28.80189,,,,,,,,
Dept Water - Pretoria,024592A,Borehole,-28.56515,28.8019,,,,,,,,
Dept Water - Pretoria,020658,Borehole,-28.56348,28.77557,,,,,,,,
Dept Water - Pretoria,2828DB00128,Borehole,-28.56024,28.89777,1975/10/01,,Total Yield,,21,,0.38,
Dept Water - Pretoria,024590,Borehole,-28.5572,28.77944,,,,,,,,
Dept Water - Pretoria,2828DB00003,Borehole,-28.55717,28.82652,,,,,,,,
Dept Water - Pretoria,024590A,Borehole,-28.55533,28.77647,1970/07/01,,Total Yield,,15,,0.19,
Dept Water - Pretoria,024590B,Borehole,-28.55442,28.77752,,,,,,,,
Dept Water - Pretoria,024590C,Borehole,-28.55429,28.77531,1971/08/01,,Total Yield,,18,,0.28,
